step,node_index,x,y,step_distance,cumulative_distance
308,639,499.941304,963.498784,26.503877,8275.964037
309,856,475.310752,983.86807,31.962039,8307.926075
310,172,457.606304,936.960036,50.137922,8358.063998
311,905,460.729013,870.533758,66.499637,8424.563634
312,558,446.884006,865.316228,14.7955,8439.359134
313,316,428.567288,837.927066,32.949482,8472.308617
314,737,389.31126,840.495124,39.339937,8511.648554
315,337,392.578843,833.207256,7.986872,8519.635425
316,656,406.880177,819.787934,19.611384,8539.246809
317,137,406.412958,791.51779,28.274004,8567.520813
318,181,400.711576,786.892326,7.341707,8574.86252
319,414,441.052786,748.460179,55.71753,8630.58005
320,962,474.387606,763.90299,36.738136,8667.318186
321,890,478.161432,737.423497,26.747062,8694.065247
322,84,483.959038,730.560328,8.984171,8703.049418
323,698,472.487407,707.709227,25.568948,8728.618367
324,436,444.807334,713.258018,28.230755,8756.849121
325,716,431.640879,706.29407,14.894701,8771.743822
326,53,419.037819,717.717907,17.010031,8788.753853
327,945,421.765686,728.038772,10.675275,8799.429128
328,364,417.243271,736.495957,9.590423,8809.019551
329,651,412.389534,754.409877,18.55983,8827.579381
330,640,408.622451,764.741934,10.997377,8838.576759
331,994,383.495053,766.317379,25.176739,8863.753497
332,477,369.942699,757.866687,15.971239,8879.724737
333,921,375.395996,778.079371,20.935402,8900.660139
334,15,343.462158,801.496591,39.599699,8940.259838
335,938,337.150063,805.997182,7.752281,8948.012119
336,215,329.789343,799.24742,9.986967,8957.999086
337,349,312.155216,776.560874,28.733983,8986.733069
338,852,298.558618,773.505826,13.935595,9000.668664
339,844,274.766474,759.763328,27.47585,9028.144514
340,930,258.525918,788.101032,32.661616,9060.80613
341,583,274.165192,801.825391,20.807328,9081.613458
342,780,271.948267,826.880216,25.152714,9106.766172
343,940,266.652671,839.516229,13.700809,9120.46698
344,592,261.930919,844.382794,6.780737,9127.247718
345,543,245.232667,851.023758,17.970366,9145.218083
346,135,195.298825,940.890468,102.807656,9248.025739
347,298,182.647256,982.956659,43.927515,9291.953254
348,98,180.676053,977.230443,6.056004,9298.009259
349,524,164.778275,953.600179,28.480321,9326.48958
350,473,152.628869,949.794608,12.731474,9339.221054
351,553,152.658605,953.56789,3.773399,9342.994453
352,973,142.912112,956.757368,10.255092,9353.249545
353,615,145.263614,962.625085,6.321365,9359.57091
354,318,125.034453,954.483024,21.806239,9381.377149
355,369,128.355698,964.65566,10.701083,9392.078232
356,563,137.87595,990.320593,27.373783,9419.452015
357,207,100.813323,999.91334,38.283928,9457.735943
358,500,63.847458,970.543657,47.212852,9504.948796
359,116,42.76007,998.13423,34.726324,9539.67512
360,847,29.488353,983.357744,19.861596,9559.536716
361,461,19.872507,959.437639,25.780534,9585.31725
362,721,4.218437,951.822054,17.408246,9602.725496
363,516,18.429582,934.371521,22.50506,9625.230557
364,146,41.8417,941.466773,24.463644,9649.6942
365,557,62.968827,938.497043,21.334826,9671.029026
366,136,67.774919,939.392257,4.888755,9675.917781
367,870,70.138273,933.930787,5.95089,9681.868672
368,183,64.60295,924.777621,10.69674,9692.565411
369,12,21.235975,911.150548,45.45758,9738.022992
370,908,75.58416,899.680419,55.545379,9793.568371
371,772,104.109919,894.994633,28.908052,9822.476423
372,374,49.1859,867.283406,61.518777,9883.9952
373,93,52.435371,861.647073,6.505945,9890.501144
374,664,53.777059,851.900926,9.838064,9900.339208
375,834,9.252671,745.252346,115.569637,10015.908845
376,731,17.721896,731.163238,16.438696,10032.347541
377,602,7.707073,716.185624,18.017369,10050.36491
378,421,9.192151,713.675613,2.916438,10053.281348
379,407,8.85122,711.762323,1.943428,10055.224776
380,788,11.670283,684.188139,27.717914,10082.94269
381,899,23.809088,690.469012,13.667478,10096.610167
382,655,14.222297,666.827398,25.511419,10122.121586
383,114,19.912224,660.20466,8.731319,10130.852905
384,963,13.703142,645.75357,15.728531,10146.581436
385,866,2.512138,621.117803,27.058448,10173.639884
386,46,8.561215,535.801019,85.530959,10259.170843
387,601,7.78755,503.758517,32.05184,10291.222684
388,161,17.422568,520.87226,19.639597,10310.862281
389,933,45.182989,534.004191,30.709748,10341.572028
390,321,46.908134,558.405952,24.462666,10366.034695
391,280,72.837384,573.817837,30.163757,10396.198452
392,242,62.730971,578.29044,11.051867,10407.250319
393,339,63.1075,605.690749,27.402896,10434.653215
394,584,85.139953,612.286225,22.998463,10457.651677
395,197,104.618212,596.32983,25.179537,10482.831214
396,853,103.145713,616.969257,20.691887,10503.523102
397,861,86.33088,623.306341,17.969342,10521.492444
398,383,50.724712,657.071302,49.07007,10570.562513
399,249,31.235287,675.207347,26.622431,10597.184945
400,468,34.911302,677.635785,4.405724,10601.590668
401,359,57.361738,696.162681,29.107867,10630.698536
402,47,73.483993,694.205915,16.240567,10646.939103
403,166,82.770473,668.745154,27.101458,10674.040562
404,175,90.287351,668.349609,7.527278,10681.56784
405,279,104.721121,657.307875,18.172881,10699.740721
406,693,115.858187,672.999953,19.242545,10718.983266
407,814,129.907959,671.835476,14.097947,10733.081213
408,64,136.015791,668.447137,6.984729,10740.065942
409,711,144.444436,673.686077,9.924139,10749.990082
410,385,155.772889,671.902107,11.46806,10761.458142
